Configurations,(mean) value
dm16seql256,0.00028498943999981206
memoryallocateddm16seql256,19792384.0
backwarddm16seql256,0.0005778548300003549
dm16seql1024,0.0008770330400002635
memoryallocateddm16seql1024,54788608.0
backwarddm16seql1024,0.0014968293600000847
dm16seql4096,0.012363481779999751
memoryallocateddm16seql4096,595853824.0
backwarddm16seql4096,0.020578152800000284
dm16seql8192,0.04822309946000018
memoryallocateddm16seql8192,2315518464.0
backwarddm16seql8192,0.07874642957999942
dm32seql256,0.000287465610000055
memoryallocateddm32seql256,20316672.0
backwarddm32seql256,0.0005768185499999845
dm32seql1024,0.000934571749999833
memoryallocateddm32seql1024,56885760.0
backwarddm32seql1024,0.0015817663700002527
dm32seql4096,0.0124892305999996
memoryallocateddm32seql4096,604242432.0
backwarddm32seql4096,0.02071273302000016
dm32seql8192,0.048670437120000326
memoryallocateddm32seql8192,2332295680.0
backwarddm32seql8192,0.07928437154000037
dm64seql256,0.0002805699599994682
memoryallocateddm64seql256,21365248.0
backwarddm64seql256,0.0005744918200002047
dm64seql1024,0.0009450517300002303
memoryallocateddm64seql1024,61080064.0
backwarddm64seql1024,0.0016024218100000808
dm64seql4096,0.012605826099999788
memoryallocateddm64seql4096,621019648.0
backwarddm64seql4096,0.02086855887999981
dm64seql8192,0.04987165695999948
memoryallocateddm64seql8192,2365850112.0
backwarddm64seql8192,0.08060982658000057
dm128seql256,0.0002838032699995097
memoryallocateddm128seql256,23462400.0
backwarddm128seql256,0.0005784515400003443
dm128seql1024,0.0010098442199992519
memoryallocateddm128seql1024,69468672.0
backwarddm128seql1024,0.001685987029999154
dm128seql4096,0.013235000969998651
memoryallocateddm128seql4096,654574080.0
backwarddm128seql4096,0.021527965090000406
dm128seql8192,0.053021040429999715
memoryallocateddm128seql8192,2432958976.0
backwarddm128seql8192,0.08408238361000088